event_region_id,region,region_label,year,start_date,end_date,duration_days,deaths,total_affected,precip_mm,severity_score,severity_tier,split,event_inventory_source,era5_summary_status,era5_window_mean_hourly_precip_mm,era5_window_max_t2m_c
east_africa_nile_headwaters__DFO_1772,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2001,2001-08-06,2001-09-13,39,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_1820,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2001,2001-11-01,2001-11-14,14,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_1907,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2002,2002-04-16,2002-04-21,6,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_1917,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2002,2002-04-26,2002-05-28,33,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_2161,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2003,2003-01-15,2003-07-01,168,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_2224,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2003,2003-05-04,2003-05-20,17,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_2430,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2004,2004-02-01,2004-06-02,123,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_2638,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2005,2005-03-01,2005-04-01,32,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_2649,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2005,2005-04-23,2005-06-14,53,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_2952,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2006,2006-08-12,2006-08-21,10,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
