event_region_id,region,region_label,year,start_date,end_date,duration_days,deaths,total_affected,precip_mm,severity_score,severity_tier,split,event_inventory_source,era5_summary_status,era5_window_mean_hourly_precip_mm,era5_window_max_t2m_c,era5_precip_7d_mean,era5_precip_7d_max,era5_precip_7d_total,era5_precip_onset_hour,era5_precip_intensity,era5_t2m_mean_c,era5_wind_speed_mean,era5_runoff_total,era5_soil_moist_mean,era5_evap_total
east_africa_nile_headwaters__DFO_1772,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2001,2001-08-06,2001-09-13,39,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.8070965478418375,6.624994291084525,193.703171482041,7.0,3.6096893754467154,25.654307375914936,4.178500925964708,0.48425792870510254,0.1417120463909743,0.9901696306958762
east_africa_nile_headwaters__DFO_1820,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2001,2001-11-01,2001-11-14,14,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.8391500280003579,7.6863932747153285,201.3960067200859,100.0,3.4803580327082764,26.81924446079614,1.892056171564671,0.5034900168002148,0.242751186017376,1.2265231102132281
east_africa_nile_headwaters__DFO_1907,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2002,2002-04-16,2002-04-21,6,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.7761268939270757,7.271624764776619,186.27045454249816,11.0,3.887088752169691,19.967106318633967,5.885678446874035,0.4656761363562454,0.23875310759461701,1.238726969056476
east_africa_nile_headwaters__DFO_1917,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2002,2002-04-26,2002-05-28,33,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.8976184633795179,9.311401399464765,215.4284312110843,46.0,3.8830972848811802,21.872321688269533,2.3924351286843377,0.5385710780277108,0.1891912457912738,1.0174312311813525
east_africa_nile_headwaters__DFO_2161,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2003,2003-01-15,2003-07-01,168,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.9095986626016691,5.447003028944934,218.3036790244006,70.0,3.276857566495315,24.414052934059875,4.785815530334919,0.5457591975610016,0.16439778728203994,0.8953005485934166
east_africa_nile_headwaters__DFO_2224,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2003,2003-05-04,2003-05-20,17,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.7869024820888615,9.599523947737403,188.85659570132677,72.0,4.13671407752466,27.32234610809195,1.8617265093695627,0.47214148925331695,0.23652597642937975,1.0109400279934229
east_africa_nile_headwaters__DFO_2430,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2004,2004-02-01,2004-06-02,123,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.9370984334850928,10.044937041791679,224.9036240364223,36.0,4.185026662581158,23.353030894584116,3.0059126938809584,0.5622590600910558,0.2221311261539353,1.275665237550438
east_africa_nile_headwaters__DFO_2638,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2005,2005-03-01,2005-04-01,32,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.8993034763336522,7.316284591059869,215.83283432007653,62.0,3.9877784164125405,27.087118714515874,3.12519161137166,0.5395820858001913,0.11806947467137958,1.0618812899791623
east_africa_nile_headwaters__DFO_2649,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2005,2005-04-23,2005-06-14,53,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.760015090379264,4.410010917701829,182.40362169102335,67.0,3.2014033535622723,25.953681956396093,3.8390893836530378,0.4560090542275584,0.29963642280097846,1.038026594877135
east_africa_nile_headwaters__DFO_2952,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2006,2006-08-12,2006-08-21,10,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.8566672449591078,6.73047787501728,205.6001387901859,99.0,3.633347752612826,30.485204370044094,2.4383918307800947,0.5140003469754647,0.13988626363245027,1.1889237336460947
east_africa_nile_headwaters__DFO_3078,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2007,2007-05-15,2007-06-14,31,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.8369319690542146,5.579118649281594,200.8636725730115,65.0,3.2535785976047475,29.76674382351581,3.8645263420222897,0.5021591814325288,0.2043028772626074,1.0562552477992215
east_africa_nile_headwaters__DFO_3123,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2007,2007-07-03,2007-10-08,98,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.9051846466267783,6.1944450563847715,217.2443151904268,92.0,3.51515477970511,24.35108428165808,4.121634994217957,0.5431107879760669,0.2309469423535818,1.10503568852152
east_africa_nile_headwaters__DFO_3146,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2007,2007-07-29,2007-10-05,69,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.8434053641231352,7.011309765072243,202.41728738955243,32.0,4.225088203500879,29.88347164115355,2.9511436322938183,0.5060432184738811,0.22243935525173153,1.2326736136820091
east_africa_nile_headwaters__DFO_3170,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2007,2007-08-15,2007-10-31,78,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.9460008188088675,16.687121742016743,227.0401965141282,81.0,4.07116379984795,27.35526096430956,2.869819912459743,0.5676004912853205,0.21775855578348968,0.960331369961546
east_africa_nile_headwaters__DFO_3235,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2007,2007-11-21,2007-12-16,26,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,1.0850912252649059,7.729433703742316,260.4218940635774,69.0,4.894897460369678,30.754382127541874,5.480757061223574,0.6510547351589435,0.26300447571330376,1.0694817101166565
east_africa_nile_headwaters__DFO_3272,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2008,2008-02-09,2008-05-01,83,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,0.8928349262282945,8.557118742407914,214.28038229479068,11.0,3.960335338657376,30.499701405311875,3.0034622283332006,0.5357009557369767,0.28012637838239507,1.0553269119279665
east_africa_nile_headwaters__DFO_3287,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2008,2008-03-20,2008-04-02,14,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,,1.0405685597585406,9.15150655238538,249.73645434204974,52.0,4.754835091944415,25.538813886506734,3.1512002008299107,0.6243411358551244,0.21204018827058096,1.2854928276998931
